ID_plot,TLU,ID_plot_cor,Key,X,Y,dead_1h,dead_10h,dead_100h,dead_1000h_old,dead_1000h_fresh,dead_1000h,duff,litter,herbs,shrubs,dead_1h_total,herb_height,shrub_height
554515,B2,554515,554515,30.1409620099429,50.199125607171,0.8957619622656001,5.320568312064,3.7638776217600007,5.028480000000001,2.4136704,7.442150400000001,8.126795580110498,3.2147982062780267,0.46900000000000003,3.650625,4.110560168543627,5.8625,19.125
554511,B2,554511,554511,30.1365722378002,50.198458409479,1.119702452832,3.6948391056,7.841411712000001,0,0,0,7.252363636363636,2.6179540709812117,0.17855000000000001,3.751875,3.737656523813212,2.231875,20.09375
556310,C2,556310,556310,30.133942127623,50.1947011828517,1.209793454784,2.9558712844799997,2.3524235136000007,0,0,0,8.4315,2.695652173913044,0.99375,6.33375,3.905445628697044,12.421875,35.1875
554310,B2,554310,554310,30.1290247412948,50.1948731415688,0.8030969316864001,2.167638941952,7.5277552435200015,0,0,0,13.988776881720428,3.7871287128712874,0.7915,2.455875,4.5902256445576874,9.89375,13.01875
554305,B2,554305,554305,30.1280865996411,50.1970392322588,0.797948874432,1.9705808563199998,1.5682823424000003,0,0,0,8.57168674698795,2.5475280898876402,0.4125,2.7281250000000004,3.3454769643196403,5.15625,13.4375
552608,C2,552608,552608,30.1280490032172,50.2008625427668,1.5315470331840002,5.172774747839998,1.5682823423999999,0,0,0,8.754117647058822,3.2430456852791876,0.377,5.776875,4.774592718463188,4.7125,2.5
550804,B2,550804,550804,30.1234180818146,50.2051542817121,0.6251212380342858,2.1113366317714286,6.721210038857143,0,0,0,12.848101265822784,1.941163055872292,1.6075000000000002,2.1375,2.5662842939065778,20.09375,11.125
550803,B2,550803,550803,30.1197717281251,50.2047609420238,1.145442739104,6.65071039008,13.330399910399999,4.022784000000001,3.417795,7.4405790000000005,24.437824267782432,1.4596577017114918,2.0395000000000003,2.2443750000000002,2.605100440815492,25.493750000000002,12.46875
550705,B2,550705,550705,30.1155488783972,50.2043920109967,1.248403884192,3.94116171264,0,4.55706,3.818502,8.375562,5.878444084278768,3.8683884297520668,0.6325000000000001,6.51375,5.1167923139440665,7.90625,20.875
549013,B2,549013,549013,30.1086750019651,50.2059275543332,0.9781308783359999,2.9558712844799997,1.2546258739199998,0,0,0,11.319285714285712,3.9856034482758624,0.11299999999999999,1.2712500000000002,4.9637343266118625,1.4124999999999999,5.625
550604,B2,550604,550604,30.106420204473,50.204196921574,1.54441717632,5.41909735488,0.7841411711999999,0,0,0,5.890120481927711,3.8436734693877552,0.13325,22.606875,5.388090645707756,1.665625,86.0625
550607,B2,550607,550607,30.1095218125874,50.2046353046951,1.196923311648,4.9264521407999995,3.1365646847999997,0,4.266351,4.266351,11.188805970149255,2.7476923076923074,0.8186000000000001,9.3234375,3.9446156193403077,10.2325,25.296875
550404,B2,550404,550404,30.0933192740359,50.2019677914411,1.8404304684479997,10.345549495679997,5.4889881983999995,0,3.417795,3.417795,9.616140350877192,4.28978947368421,0.0737,12.363750000000001,6.13021994213221,0.92125,13.375
550409,C2,550409,550409,30.0950284647415,50.1997787886708,1.248403884192,5.172774747839998,8.625552883200001,9.051264000000002,8.359848,17.411112000000003,10.730180180180183,4.236880733944953,0.033400000000000006,2.9205000000000005,5.485284618136953,0.4175,13.975
552104,C2,552104,552104,30.0964241877997,50.1972237476145,0.411844580352,4.363429038994285,5.825048700342856,0,0,0,8.412137404580152,1.7839024390243903,1.489,3.1275,2.19574701937639,18.6125,17.375
553905,B2,553905,553905,30.0973890515475,50.1921207226915,1.1840531685120002,4.433806926719999,3.9207058560000005,4.022784000000001,0,4.022784000000001,9.758913043478262,4.198613861386139,0.51825,5.416875,5.38266702989814,6.4781249999999995,21.53125
553911,C2,553911,553911,30.0989291613738,50.1899639186662,1.003871164608,5.6654199619200005,10.193835225599999,14.912586000000001,5.680611000000001,20.593197000000004,3.043,3.8301030927835047,1.002,14.16375,4.833974257391505,12.525,75.3125
553909,C2,553909,553909,30.0948212513526,50.1904401108352,0.8751697332479998,4.433806926719999,10.193835225599999,4.289922000000001,14.284026,18.573948,16.060540540540543,2.940117647058824,0.5499999999999999,4.078125,3.815287380306824,6.874999999999999,20.96875
529505,B2,529505,529505,30.0754725047117,50.2739712061999,1.1325725959680002,6.158065175999998,0,0,0,0,7.699368421052631,2.755494505494505,0.2985000000000001,2.223,3.8880671014625054,3.7312500000000006,4.7
528103,C2,528103,528103,30.0761274599302,50.2771664688122,1.3899754586880002,6.158065175999998,14.8986822528,9.051264000000002,3.6417195,12.692983500000002,12.344347826086956,2.8521739130434782,0.1819,6.271875,4.242149371731479,2.27375,33.96875
528105,C2,528105,528105,30.0793826263269,50.2780902486793,0.6263469659520001,2.62744114176,7.318650931199999,2.6818560000000007,2.011392,4.6932480000000005,21.422481751824822,2.729777777777778,1.1462500000000002,13.59,3.356124743729778,14.328125,73.40625
529513,C2,529513,529513,30.0806643919115,50.2735472091895,0.8751697332480001,2.62744114176,2.6138039040000005,2.6818560000000007,0,2.6818560000000007,6.779272727272727,2.1512903225806452,0.09295000000000002,12.540375,3.0264600558286454,1.1618750000000002,5.66875
529602,C2,529602,529602,30.0839896593226,50.2743500362335,1.055351737152,3.94116171264,5.4889881983999995,0,0,0,7.618604651162791,2.4392592592592592,1.7029999999999998,12.931875000000002,3.494610996411259,21.287499999999998,69.90625
