ID_plot,TLU,ID_plot_cor,Key,X,Y
554515,B2,554515,554515,30.1409620099429,50.199125607171
554511,B2,554511,554511,30.1365722378002,50.198458409479
556310,C2,556310,556310,30.133942127623,50.1947011828517
554310,B2,554310,554310,30.1290247412948,50.1948731415688
554305,B2,554305,554305,30.1280865996411,50.1970392322588
552608,C2,552608,552608,30.1280490032172,50.2008625427668
550804,B2,550804,550804,30.1234180818146,50.2051542817121
550803,B2,550803,550803,30.1197717281251,50.2047609420238
550705,B2,550705,550705,30.1155488783972,50.2043920109967
549013,B2,549013,549013,30.1086750019651,50.2059275543332
550604,B2,550604,550604,30.106420204473,50.204196921574
550607,B2,550607,550607,30.1095218125874,50.2046353046951
550404,B2,550404,550404,30.0933192740359,50.2019677914411
550409,C2,550409,550409,30.0950284647415,50.1997787886708
552104,C2,552104,552104,30.0964241877997,50.1972237476145
553905,B2,553905,553905,30.0973890515475,50.1921207226915
553911,C2,553911,553911,30.0989291613738,50.1899639186662
553909,C2,553909,553909,30.0948212513526,50.1904401108352
529505,B2,529505,529505,30.0754725047117,50.2739712061999
528103,C2,528103,528103,30.0761274599302,50.2771664688122
528105,C2,528105,528105,30.0793826263269,50.2780902486793
529513,C2,529513,529513,30.0806643919115,50.2735472091895
529602,C2,529602,529602,30.0839896593226,50.2743500362335
528306,C2,528306,528306,30.0917162131879,50.2786642220458
528309,C2,528309,528309,30.0959092132455,50.2792842005282
528409,C2,528409,528409,30.0990576641605,50.2809513616071
528303,C2,528303,528303,30.0925862147881,50.281641520608
527003,C2,527003,527003,30.0904378942066,50.2853561043741
526908,C2,526908,526908,30.0857935364741,50.2848004361024
536802,C2,536802,536802,30.0998383511241,50.2574448687581
525704,C2,525704,525704,30.0799440265149,50.2869473888256
525701,C2,525701,525701,30.0783895297539,50.2890082325683
526905,B2,526905,526905,30.0831024731641,50.2825227128815
527101,C2,527101,527101,30.0955923629596,50.2860358844369
527111,C2,527111,527111,30.0996574753292,50.2861588558403
528503,C2,528503,528503,30.1044564940764,50.283768639266
529902,C2,529902,529902,30.1070123110007,50.2798081048728
528610,C2,528610,528610,30.1114192750302,50.2822046587656
528602,C2,528602,528602,30.1105786690989,50.284443669494
538501,B2,538501,538501,30.0062127137949,50.2336193523893
538505,B2,538505,538505,30.00657427257,50.230969207671
540001,B2,540001,540001,30.0073783304844,50.2284283835435
540005,B2,540005,540005,30.008574221782,50.2262525690542
541405,B2,541405,541405,30.0092814699914,50.2239368747912
541406,B2,541406,541406,30.0132615524164,50.2242382731153
541501,B2,541501,541501,30.0172870058497,50.2246209621834
540113,C2,540113,540113,30.0193536603847,50.2266843462263
540103,B2,540103,540103,30.0198079335134,50.2297775561828
538612,B2,538612,538612,30.019367672144,50.2320693005144
538610,B2,538610,538610,30.0157327123958,50.231333053136
538601,B2,538601,538601,30.0136373195609,50.2343764135297
537101,B2,537101,537101,30.0119262820497,50.2378552906538
209809,C2,209809,209809,30.2359457858574,50.3331913816475
209706,C2,209706,209706,30.2308963123902,50.3360940937051
209317,C2,209317,209317,30.2342644240951,50.3379099808801
209302,B2,209302,209302,30.2351719656976,50.340565336675
209222,C2,209222,209222,30.228667139876,50.3385924749793
209702,C2,209702,209702,30.2251288477328,50.3362816399891
209619,C2,209619,209619,30.2216136262299,50.3348298332088
209219,C2,209219,209219,30.2248129734962,50.3392083278061
209102,C2,209102,209102,30.2176706892261,50.3418859463106
209005,C2,209005,209005,30.2156138063374,50.3438158468054
209103,C2,209103,209103,30.2212116125893,50.3432630050717
208507,B2,208507,208507,30.2247415293107,50.3458871808438
211915,B2,211915,211915,30.2758780932832,50.3156864057702
211813,C2,211813,211813,30.270807680834,50.3167866765902
212501,B2,212501,212501,30.2639616654581,50.3133285783874
212407,C2,212407,212407,30.2626983671851,50.3159080529744
211815,B2,211815,211815,30.2673742738684,50.3158141707523
211810,B2,211810,211810,30.2655063711483,50.3180280969043
211801,C2,211801,211801,30.2668020994867,50.3204503576491
211004,C2,211004,211004,30.2694050976022,50.3226460537593
211707,B2,211707,211707,30.2635087699745,50.3213459165736
210805,C2,210805,210805,30.2594166561448,50.3254898353783
214014,C2,214014,214014,30.3141289082175,50.3010938638968
215406,C2,215406,215406,30.310886093913,50.2992375272513
215417,B2,215417,215417,30.3083463980352,50.2963545934149
217116,B2,217116,217116,30.3093144048192,50.2924978811734
218703,B2,218703,218703,30.3108006709357,50.2901773953825
218712,C2,218712,218712,30.3076458706858,50.2880031469382
218610,C2,218610,218610,30.3039860121894,50.2886948785301
217002,B2,217002,217002,30.3018276509475,50.2955166161611
550707,B2,550707,550707,30.1108531310247,50.204158888216
550502,B2,550502,550502,30.0968635897606,50.2034043261389
533528,B2,533528,533528,30.0609158091842,50.2639268080707
554722,B2,554722,554722,30.1461128588637,50.1956582771745
525610,B2,525610,525610,30.072448407191,50.2861741945983
558212,B2,558212,558212,30.1483931784558,50.1882005274266
534202,C2,534202,534202,30.0498331763647,50.2606642094443
558217,B2,558217,558217,30.1513113484775,50.1902400747484
533802,B2,533802,533802,30.0215115244894,50.2563327224761
533807,B2,533807,533807,30.0239055009437,50.2532448534566
534703,B2,534703,534703,30.0269921230202,50.2512816199619
534801,B2,534801,534801,30.0308429150939,50.2519475297736
534001,B2,534001,534001,30.0355573522129,50.2575207891398
533419.1,B2,533419,533419,30.051402675156,50.2628596712038
534402,C2,534402,534402,30.0644389860806,50.2628559309138
554724.N1,B2,554724,554724,30.1473994103083,50.1961806080335
556507.N2,C2,556507,556507,30.1327603716114,50.190358343538
